ID,sector,source,year,value,units
45,Industrial,Total Energy,1973,32623.268,Trillion Btu
45,Transportation,Total Energy,1973,18612.78,Trillion Btu
45,Commercial,Total Energy,1973,9542.957,Trillion Btu
44,Industrial,Total Energy,1974,31787.187,Trillion Btu
44,Residential,Total Energy,1974,14654.336,Trillion Btu
44,Transportation,Total Energy,1974,18120.419,Trillion Btu
44,Commercial,Total Energy,1974,9393.324,Trillion Btu
43,Industrial,Total Energy,1975,29413.018,Trillion Btu
43,Transportation,Total Energy,1975,18245.003,Trillion Btu
43,Commercial,Total Energy,1975,9492.492,Trillion Btu
43,Residential,Total Energy,1975,14813.4,Trillion Btu
42,Industrial,Total Energy,1976,31392.821,Trillion Btu
42,Commercial,Total Energy,1976,10063.334,Trillion Btu
42,Residential,Total Energy,1976,15410.259,Trillion Btu
42,Transportation,Total Energy,1976,19100.798,Trillion Btu
41,Industrial,Total Energy,1977,32263.009,Trillion Btu
41,Commercial,Total Energy,1977,10207.599,Trillion Btu
41,Transportation,Total Energy,1977,19821.59,Trillion Btu
41,Residential,Total Energy,1977,15661.713,Trillion Btu
40,Transportation,Total Energy,1978,20617.064,Trillion Btu
40,Industrial,Total Energy,1978,32687.556,Trillion Btu
40,Residential,Total Energy,1978,16132.287,Trillion Btu
40,Commercial,Total Energy,1978,10511.88,Trillion Btu
39,Transportation,Total Energy,1979,20471.532,Trillion Btu
39,Industrial,Total Energy,1979,33924.74,Trillion Btu
39,Commercial,Total Energy,1979,10648.024,Trillion Btu
39,Residential,Total Energy,1979,15812.724,Trillion Btu
38,Residential,Total Energy,1980,15753.38,Trillion Btu
38,Industrial,Total Energy,1980,32039.419,Trillion Btu
38,Commercial,Total Energy,1980,10578.258,Trillion Btu
38,Transportation,Total Energy,1980,19696.69,Trillion Btu
37,Industrial,Total Energy,1981,30711.561,Trillion Btu
37,Commercial,Total Energy,1981,10615.891,Trillion Btu
37,Transportation,Total Energy,1981,19514.013,Trillion Btu
37,Residential,Total Energy,1981,15261.544,Trillion Btu
36,Transportation,Total Energy,1982,19089.228,Trillion Btu
36,Residential,Total Energy,1982,15530.937,Trillion Btu
36,Industrial,Total Energy,1982,27614.494,Trillion Btu
36,Commercial,Total Energy,1982,10860.337,Trillion Btu
35,Commercial,Total Energy,1983,10938.376,Trillion Btu
35,Transportation,Total Energy,1983,19176.615,Trillion Btu
35,Industrial,Total Energy,1983,27427.759,Trillion Btu
35,Residential,Total Energy,1983,15425.021,Trillion Btu
34,Transportation,Total Energy,1984,19655.566,Trillion Btu
34,Commercial,Total Energy,1984,11443.89,Trillion Btu
34,Residential,Total Energy,1984,15959.563,Trillion Btu
34,Industrial,Total Energy,1984,29569.887,Trillion Btu
33,Industrial,Total Energy,1985,28815.809,Trillion Btu
33,Residential,Total Energy,1985,16041.334,Trillion Btu
33,Transportation,Total Energy,1985,20087.913,Trillion Btu
33,Commercial,Total Energy,1985,11451.231,Trillion Btu
